date,open,high,low,close,volume,200 MA,50 MA
2020-02-26,20.3,21.2,20.3,21.19,1396.0,0.0,19.181898
2020-02-25,20.971,21.19,19.9,20.3,4811.0,0.0,19.107898
2020-02-24,23.09,23.09,21.4,21.4,2507.0,0.0,19.073898
2020-02-21,20.85,21.3,20.85,21.3,830.0,0.0,18.987898
2020-02-20,21.4,21.45,21.35,21.45,2111.0,0.0,18.923898
2020-02-19,21.34,21.4,20.985,20.985,1270.0,0.0,18.869198
2020-02-18,21.075,21.4,20.955,21.34,4703.0,0.0,18.807398000000006
2020-02-14,21.4,21.4,20.63,21.3,1181.0,0.0,18.746398000000006
2020-02-13,20.0275,20.0275,20.0275,20.0275,190.0,0.0,18.740448
2020-02-12,20.95,20.95,20.0275,20.0275,539.0,0.0,18.687898
2020-02-11,19.6,19.7,19.6,19.7,1481.0,0.0,18.641898
2020-02-10,19.4,19.4,19.4,19.4,247.0,0.0,18.605898
2020-02-07,19.4,19.4,19.4,19.4,517.0,0.0,18.568898
2020-02-06,19.5,19.5,19.5,19.5,739.0,0.0,18.525898
2020-02-05,19.9,20.0,19.02,19.02,1337.0,0.0,18.490498
2020-02-04,18.0,19.0,18.0,19.0,1227.0,0.0,18.455498
2020-02-03,18.0,18.0,18.0,18.0,228.0,0.0,18.440498
2020-01-31,18.0,18.0,18.0,18.0,61.0,0.0,0.0
2020-01-30,18.0,18.0,18.0,18.0,2192.0,0.0,0.0
2020-01-29,19.23,19.23,16.65,19.0,837.0,0.0,0.0
2020-01-28,18.05,18.05,18.05,18.05,278.0,0.0,0.0
2020-01-27,18.1,18.1,18.0,18.0,6037.0,0.0,0.0
2020-01-24,18.5,18.5,18.15,18.15,568.0,0.0,0.0
2020-01-23,18.93,18.93,18.46,18.465,1079.0,0.0,0.0
2020-01-22,18.01,18.01,18.01,18.01,164.0,0.0,0.0
2020-01-21,19.44,19.44,18.0,18.0,1222.0,0.0,0.0
2020-01-17,17.99,18.75,17.05,17.58,7072.0,0.0,0.0
2020-01-16,19.0,20.71,19.0,19.02,4305.0,0.0,0.0
2020-01-15,21.16,21.16,18.5,19.05,4408.0,0.0,0.0
2020-01-14,19.475,20.47,19.475,20.47,3637.0,0.0,0.0
2020-01-13,20.0,20.0,19.0,19.05,3535.0,0.0,0.0
2020-01-10,20.75,20.8,18.75,19.0,2138.0,0.0,0.0
2020-01-09,19.0,21.14,18.98,21.02,5013.0,0.0,0.0
2020-01-08,18.62,21.3599,18.62,21.3599,823.0,0.0,0.0
2020-01-07,18.52,20.0,18.52,18.75,1854.0,0.0,0.0
2020-01-06,19.25,19.5,19.2,19.45,4910.0,0.0,0.0
2020-01-03,19.5,19.5,18.6,18.6,2789.0,0.0,0.0
2020-01-02,20.72,21.77,19.0,20.0,8923.0,0.0,0.0
2019-12-31,19.95,20.79,19.95,20.72,2306.0,0.0,0.0
2019-12-30,21.29,21.44,19.0,19.0,7137.0,0.0,0.0
2019-12-27,18.26,18.5,18.26,18.5,1773.0,0.0,0.0
2019-12-26,18.6,19.2,18.55,18.55,620.0,0.0,0.0
2019-12-24,19.0,19.0,19.0,19.0,1460.0,0.0,0.0
2019-12-23,20.0,32.97,18.5,20.5,4138.0,0.0,0.0
2019-12-20,20.62,20.62,20.62,20.62,106.0,0.0,0.0
2019-12-19,18.0,20.57,15.02,15.02,525.0,0.0,0.0
2019-12-18,20.41,20.41,20.41,20.41,108.0,0.0,0.0
2019-12-17,17.0,17.0,17.0,17.0,4.0,0.0,0.0
2019-12-16,17.0,17.0,17.0,17.0,230.0,0.0,0.0
2019-12-13,17.0,17.0,17.0,17.0,302.0,0.0,0.0
2019-12-12,16.6,16.6,16.6,16.6,70.0,0.0,0.0
2019-12-11,16.6,16.6,16.6,16.6,1030.0,0.0,0.0
2019-12-10,16.85,19.7,16.85,19.7,317.0,0.0,0.0
2019-12-09,17.0,17.0,17.0,17.0,236.0,0.0,0.0
2019-12-06,18.25,18.25,18.25,18.25,2.0,0.0,0.0
2019-12-05,18.25,18.25,18.25,18.25,10.0,0.0,0.0
2019-12-04,18.25,18.25,18.25,18.25,7.0,0.0,0.0
2019-12-03,19.72,19.72,17.1,18.25,736.0,0.0,0.0
2019-12-02,16.8,19.73,16.8,19.73,684.0,0.0,0.0
2019-11-29,17.4,17.4,17.4,17.4,58.0,0.0,0.0
2019-11-27,17.4,17.4,17.4,17.4,205.0,0.0,0.0
2019-11-26,17.6,17.6,17.6,17.6,128.0,0.0,0.0
2019-11-25,19.0,19.0,17.55,17.55,507.0,0.0,0.0
2019-11-22,17.8,17.8,17.35,17.35,1205.0,0.0,0.0
2019-11-21,17.25,17.25,17.25,17.25,75.0,0.0,0.0
2019-11-20,17.25,17.25,17.25,17.25,300.0,0.0,0.0
2019-11-19,17.25,17.25,17.25,17.25,7000.0,0.0,0.0
